路线,样本,字段,抽取输出,金标准,AI预标,理由,人工确认
ocr,P06,学历,硕士 | 硕士,硕士研究生 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P06,城市,郑州 | 沁阳,郑州 | 焦作,真错❌,另一行政实体或未识别,
ocr,P06,岗位,郑州市司法局 | 米焦作市沁阳市发展和改革委员会,郑州市司法局 | 沁阳市发展和改革委员会,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P07,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P07,专业,文物与博物馆学 | 中国现当代文学,文物与博物馆学 | 当代文学,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P07,城市,石嘴山 | 米银川,石嘴山 | 银川,等价✅,唯一识别同一城市（±市后缀/更细地址）,
ocr,P07,岗位,石嘴山市惠农区红果子镇人民政府 | 米银川市金凤区人民法院,惠农区红果子镇人民政府 | 银川市金凤区人民法院,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P08,学历,硕士 | 硕士,硕士研究生 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P08,专业,文物与博物馆 | 中国少数民族语言文学,文物与博物馆学 | 中国少数民族语言文学,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P08,岗位,None | None,炎陵县鹿原镇三口村党总支书记助理 | 双清区高崇山镇马杨村党总书记助理,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P09,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P09,城市,晋江 | None,晋江 | 三明,真错❌,另一行政实体或未识别,
ocr,P09,岗位,None | 现任职翠江镇中山村党支部,英林镇三欧村村主任助理 | 宁化县委社会工作部,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P10,学历,本科 | None,本科 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P10,城市,深圳 | 米梅州,深圳 | 梅州,等价✅,唯一识别同一城市（±市后缀/更细地址）,
ocr,P10,岗位,深圳市宝安区新桥街道办 | 米梅州市中级人民法院,宝安区新桥街道办 | 梅州市中级人民法院,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P11,专业,法学 | 新闻与传播,法学 | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P11,城市,本溪 | 米大连,本溪 | 大连,等价✅,唯一识别同一城市（±市后缀/更细地址）,
ocr,P11,岗位,本溪市检察院 | 米大连市甘井子区辛寨子街道办事处,本溪市检察院 | 甘井子区辛寨子街道办事处,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P12,岗位,吐鲁番市高昌区审计局,高昌区审计局,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P13,专业,环境科学(中外合作办学) | 哲学,环境科学（中外合作办学） | 宗教学,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P13,岗位,山西省临汾市城联社 | 山西省纪委监委,临汾市城联社 | 山西省纪委监委,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P14,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P14,专业,行政管理 | 汉语言文字学,行政管理 | 汉语言文学,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P14,岗位,保定市徐水区财政局 | 唐山市纪委监委,保定市徐水区财政局 | 唐山市纪检委,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P15,学历,本科 | None,本科 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P15,城市,None | None,石阡 | 织金,真错❌,另一行政实体或未识别,
ocr,P15,岗位,贵州省石阡县县委办公室 | 贵州省织金县文体广电旅游局,石阡县县委办公室 | 织金县文体广电旅游局,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P16,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P16,专业,软件工程 | 环境米科学与工程,软件工程 | 环境科学,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P16,岗位,张家口市卫生健康委员会 | 石家庄市桥西区数据资源管理局,张家口市卫生健康委员会 | 桥西区数据资源管理局,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P17,学历,硕士 | 硕士,硕士研究生 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P17,岗位,武汉市财政局 | 荆州市荆州区城南街道党政办,武汉市财政局 | 荆州区城南街道党政办试用期公务员,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P18,岗位,南昌市新建区人民政府 | 江西省上饶市委政研室,新建区人民政府 | 上饶市委政研室,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P19,专业,汉语言文学 | 生物科学 | 新闻与传播,汉语言文学 | 生物科学 | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P19,岗位,山西省长治市劳动人事争议仲裁院 | 山西省晋城市教育局 | 中共山西省委宣传部,长治市劳动人事争议仲裁院 | 晋城市教育局 | 中共山西省委宣传部,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P20,专业,哲学 | 米级维吾尔语,哲学 | 维吾尔语,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P01,专业,应用统计 | 法律,应用统计 | 法律（法学）,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P01,城市,滨州市阳信县 | 潍坊市寒亭区,滨州 | 潍坊,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P01,岗位,发改局 | 司法局,阳信县发改局 | 寒亭区司法局,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P02,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P03,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P03,专业,国际经济与贸易 | 电子信息工程,国际经济与贸易 | 电子信息,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P03,城市,昆明市 | 昆明市盘龙区,昆明 | 昆明,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P03,岗位,昆明市委组织部 | 金辰街道办事处,昆明市委组织部 | 盘龙区金辰街道办,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P04,专业,中国与周边国家关系史实验班 | 应用统计,中国与周边国家关系史实验班 | 应用统计专业,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P04,城市,来宾市合山市 | 广西壮族自治区,来宾 | None,真错❌,另一行政实体或未识别,
multimodal,P04,岗位,中共来宾市合山市委组织部 | 自治区统计局,合山市委组织部 | 广西壮族自治区统计局,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P05,学历,硕士 | 硕士,硕士研究生 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P05,专业,学科教学（英语） | 新闻与传播,学科教学（英语） | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P05,城市,天津市河北区王串场街道 | 天津市津南区农业农村委员会,天津 | 天津,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P05,岗位,天津市河北区王串场街道 | 天津市津南区农业农村委员会,河北区王串场街道公务员 | 津南区农业农村委员会,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P06,学历,硕士 | 硕士,硕士研究生 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P06,城市,郑州市 | 焦作市沁阳市,郑州 | 焦作,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P07,专业,文物与博物馆学专业 | 中国现当代文学专业,文物与博物馆学 | 当代文学,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P07,城市,石嘴山市惠农区红果子镇 | 银川市金凤区,石嘴山 | 银川,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P07,岗位,人民政府 | 人民法院,惠农区红果子镇人民政府 | 银川市金凤区人民法院,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P08,专业,文物与博物馆学专业 | 中国少数民族语言文学专业,文物与博物馆学 | 中国少数民族语言文学,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P08,城市,湖南省株洲市炎陵县鹿原镇三口村 | 湖南省邵阳市双清区高崇山镇马杨村,株洲 | 邵阳,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P08,岗位,党总支书记助理 | 党总支书记助理,炎陵县鹿原镇三口村党总支书记助理 | 双清区高崇山镇马杨村党总书记助理,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P09,城市,福建省泉州市晋江市英林镇三欧村 | 福建省三明市宁化县,晋江 | 三明,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P09,岗位,村主任助理 | 翠江镇中山村党支部副书记助理,英林镇三欧村村主任助理 | 宁化县委社会工作部,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P10,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P10,专业,汉语言文学 | 法律,汉语言文学 | 法律（法学）,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P10,城市,深圳市宝安区 | 梅州市,深圳 | 梅州,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P10,岗位,新桥街道办事处 | 中级人民法院,宝安区新桥街道办 | 梅州市中级人民法院,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P11,专业,法学 | 新闻与传播,法学 | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P11,岗位,检察院 | 街道办事处,本溪市检察院 | 甘井子区辛寨子街道办事处,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P12,城市,吐鲁番市高昌区,吐鲁番,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P12,岗位,审计局,高昌区审计局,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P13,城市,山西省临汾市 | 山西省,临汾 | None,真错❌,另一行政实体或未识别,
multimodal,P13,岗位,山西省临汾市城联社 | 山西省纪委监委,临汾市城联社 | 山西省纪委监委,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P14,城市,保定市徐水区 | 唐山市纪委监委会,保定 | 唐山,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P14,岗位,财政局 | 唐山市纪委监委会,保定市徐水区财政局 | 唐山市纪检委,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P15,学历,本科 | 研究生,本科 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P15,城市,贵州省石阡县 | 贵州省织金县,石阡 | 织金,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P15,岗位,县委办公室 | 文体广电旅游局,石阡县县委办公室 | 织金县文体广电旅游局,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P16,专业,软件工程专业 | 环境科学与工程,软件工程 | 环境科学,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P16,城市,张家口市 | 石家庄市,张家口 | 石家庄,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P16,岗位,卫生健康委员会 | 桥西区数据资源管理局,张家口市卫生健康委员会 | 桥西区数据资源管理局,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P17,城市,武汉市 | 荆州市,武汉 | 荆州,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P17,岗位,武汉市财政局 | 荆州市荆州区委南街街道党政办,武汉市财政局 | 荆州区城南街道党政办试用期公务员,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P18,专业,法英专业 | 英语笔译,法英 | 英语笔译,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P18,城市,南昌市新建区 | 江西省上饶市,南昌 | 上饶,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P18,岗位,南昌市新建区人民政府办公室 | 江西省委政研室,新建区人民政府 | 上饶市委政研室,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P19,专业,汉语言文学 | 生物科学 | 新闻与传播,汉语言文学 | 生物科学 | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
multimodal,P19,城市,山西省长治市 | 山西省晋城市 | 山西,长治 | 晋城 | None,真错❌,另一行政实体或未识别,
multimodal,P19,岗位,山西省长治市劳动人事争议仲裁院 | 山西省晋城市教育局 | 中共山西省委宣传部,长治市劳动人事争议仲裁院 | 晋城市教育局 | 中共山西省委宣传部,等价✅,金标准⊆输出（简称/全称细化）,
multimodal,P20,城市,乌鲁木齐 | 喀什地区疏附县,乌鲁木齐 | 喀什,等价✅,唯一识别同一城市（±市后缀/更细地址）,
multimodal,P20,岗位,乌鲁木齐市委统战部 | 组织部,乌鲁木齐市委统战部 | 喀什地区疏附县委组织部,真错❌,输出与金标准无包含关系（逐字要求）,
